contexts,query,answers,graph,depth,query_type,query_state,calculation_time
"If white event is False, then pink event is True with probability of 46%. If white event is False, then pink event is False with probability of 54%. If white event is True, then pink event is True with probability of 99%. If white event is True, then pink event is False with probability of 1%. white event is true with probability of 56%. white event is false with probability of 44%. ",What is the probability that pink event is True given that white event is True?,0.99,"('white event',) -> pink event | () -> white event",2,n0|n1|,tt,0.268000000000157
"If purple event is False, then pink event is True with probability of 46%. If purple event is False, then pink event is False with probability of 54%. If purple event is True, then pink event is True with probability of 83%. If purple event is True, then pink event is False with probability of 17%. purple event is true with probability of 64%. purple event is false with probability of 36%. ",What is the probability that pink event is True?,0.6968,"('purple event',) -> pink event | () -> purple event",2,n0||,t,0.2599000000000906
"If orange event is False, then purple event is True with probability of 12%. If orange event is False, then purple event is False with probability of 88%. If orange event is True, then purple event is True with probability of 13%. If orange event is True, then purple event is False with probability of 87%. orange event is true with probability of 63%. orange event is false with probability of 37%. ",What is the probability that purple event is False?,0.8737,"('orange event',) -> purple event | () -> orange event",2,n0||,f,0.2684999999997828
"If blue event is False, then cyan event is True with probability of 23%. If blue event is False, then cyan event is False with probability of 77%. If blue event is True, then cyan event is True with probability of 71%. If blue event is True, then cyan event is False with probability of 29%. blue event is true with probability of 46%. blue event is false with probability of 54%. ",What is the probability that cyan event is False given that blue event is False?,0.77,"('blue event',) -> cyan event | () -> blue event",2,n0|n1|,ff,0.2631000000001826
"If yellow event is False, then pink event is True with probability of 86%. If yellow event is False, then pink event is False with probability of 14%. If yellow event is True, then pink event is True with probability of 76%. If yellow event is True, then pink event is False with probability of 24%. yellow event is true with probability of 68%. yellow event is false with probability of 32%. ",What is the probability that pink event is False?,0.208,"('yellow event',) -> pink event | () -> yellow event",2,n0||,f,0.2585999999999977
"If pink event is False, then blue event is True with probability of 48%. If pink event is False, then blue event is False with probability of 52%. If pink event is True, then blue event is True with probability of 52%. If pink event is True, then blue event is False with probability of 48%. pink event is true with probability of 4%. pink event is false with probability of 96%. ",What is the probability that blue event is False given that pink event is True?,0.4799999999999999,"('pink event',) -> blue event | () -> pink event",2,n0|n1|,ft,0.2556000000000225
"If blue event is False, then grey event is True with probability of 98%. If blue event is False, then grey event is False with probability of 2%. If blue event is True, then grey event is True with probability of 74%. If blue event is True, then grey event is False with probability of 26%. blue event is true with probability of 38%. blue event is false with probability of 62%. ",What is the probability that grey event is False given that blue event is True?,0.26,"('blue event',) -> grey event | () -> blue event",2,n0|n1|,ft,0.2531999999999534
"If red event is False, then blue event is True with probability of 40%. If red event is False, then blue event is False with probability of 60%. If red event is True, then blue event is True with probability of 39%. If red event is True, then blue event is False with probability of 61%. red event is true with probability of 48%. red event is false with probability of 52%. ",What is the probability that blue event is True given that red event is True?,0.39,"('red event',) -> blue event | () -> red event",2,n0|n1|,tt,0.2531999999999534
"If cyan event is False, then pink event is True with probability of 46%. If cyan event is False, then pink event is False with probability of 54%. If cyan event is True, then pink event is True with probability of 54%. If cyan event is True, then pink event is False with probability of 46%. cyan event is true with probability of 41%. cyan event is false with probability of 59%. ",What is the probability that pink event is True?,0.4928,"('cyan event',) -> pink event | () -> cyan event",2,n0||,t,0.2548999999998358
"If cyan event is False, then white event is True with probability of 41%. If cyan event is False, then white event is False with probability of 59%. If cyan event is True, then white event is True with probability of 80%. If cyan event is True, then white event is False with probability of 20%. cyan event is true with probability of 12%. cyan event is false with probability of 88%. ",What is the probability that white event is True given that cyan event is True?,0.8,"('cyan event',) -> white event | () -> cyan event",2,n0|n1|,tt,0.2851999999999854
"If black event is False, then red event is True with probability of 72%. If black event is False, then red event is False with probability of 28%. If black event is True, then red event is True with probability of 11%. If black event is True, then red event is False with probability of 89%. black event is true with probability of 95%. black event is false with probability of 5%. ",What is the probability that red event is False given that black event is False?,0.28,"('black event',) -> red event | () -> black event",2,n0|n1|,ff,0.2751999999999199
"If purple event is False, then pink event is True with probability of 63%. If purple event is False, then pink event is False with probability of 37%. If purple event is True, then pink event is True with probability of 10%. If purple event is True, then pink event is False with probability of 90%. purple event is true with probability of 73%. purple event is false with probability of 27%. ",What is the probability that pink event is True?,0.2431,"('purple event',) -> pink event | () -> purple event",2,n0||,t,0.2623000000001596
"If red event is False, then grey event is True with probability of 22%. If red event is False, then grey event is False with probability of 78%. If red event is True, then grey event is True with probability of 87%. If red event is True, then grey event is False with probability of 13%. red event is true with probability of 11%. red event is false with probability of 89%. ",What is the probability that grey event is False given that red event is True?,0.13,"('red event',) -> grey event | () -> red event",2,n0|n1|,ft,0.2561000000000923
"If purple event is False, then red event is True with probability of 28%. If purple event is False, then red event is False with probability of 72%. If purple event is True, then red event is True with probability of 3%. If purple event is True, then red event is False with probability of 97%. purple event is true with probability of 13%. purple event is false with probability of 87%. ",What is the probability that red event is True and purple event is False?,0.2436,"('purple event',) -> red event | () -> purple event",2,n0n1||,tf,0.3355000000002661
"If orange event is False, then pink event is True with probability of 47%. If orange event is False, then pink event is False with probability of 53%. If orange event is True, then pink event is True with probability of 7%. If orange event is True, then pink event is False with probability of 93%. orange event is true with probability of 38%. orange event is false with probability of 62%. ",What is the probability that pink event is False and orange event is False?,0.3286,"('orange event',) -> pink event | () -> orange event",2,n0n1||,ff,0.332800000000244
"If yellow event is False, then black event is True with probability of 68%. If yellow event is False, then black event is False with probability of 32%. If yellow event is True, then black event is True with probability of 13%. If yellow event is True, then black event is False with probability of 87%. yellow event is true with probability of 15%. yellow event is false with probability of 85%. ",What is the probability that yellow event is True given that black event is False?,0.324223602484472,"('yellow event',) -> black event | () -> yellow event",2,n1|n0|,tf,0.2510000000000012
"If cyan event is False, then blue event is True with probability of 78%. If cyan event is False, then blue event is False with probability of 22%. If cyan event is True, then blue event is True with probability of 81%. If cyan event is True, then blue event is False with probability of 19%. cyan event is true with probability of 24%. cyan event is false with probability of 76%. ",What is the probability that blue event is False given that cyan event is False?,0.22,"('cyan event',) -> blue event | () -> cyan event",2,n0|n1|,ff,0.2660000000003215
"If yellow event is False, then red event is True with probability of 58%. If yellow event is False, then red event is False with probability of 42%. If yellow event is True, then red event is True with probability of 80%. If yellow event is True, then red event is False with probability of 20%. yellow event is true with probability of 88%. yellow event is false with probability of 12%. ",What is the probability that yellow event is True given that red event is True?,0.9100310237849016,"('yellow event',) -> red event | () -> yellow event",2,n1|n0|,tt,0.2357000000001718
"If grey event is False, then yellow event is True with probability of 8%. If grey event is False, then yellow event is False with probability of 92%. If grey event is True, then yellow event is True with probability of 27%. If grey event is True, then yellow event is False with probability of 73%. grey event is true with probability of 5%. grey event is false with probability of 95%. ",What is the probability that yellow event is False and grey event is False?,0.8740000000000001,"('grey event',) -> yellow event | () -> grey event",2,n0n1||,ff,0.2527999999997199
"If purple event is False, then orange event is True with probability of 80%. If purple event is False, then orange event is False with probability of 20%. If purple event is True, then orange event is True with probability of 73%. If purple event is True, then orange event is False with probability of 27%. purple event is true with probability of 87%. purple event is false with probability of 13%. ",What is the probability that orange event is True and purple event is False?,0.104,"('purple event',) -> orange event | () -> purple event",2,n0n1||,tf,0.3611999999999504
"If black event is False, then purple event is True with probability of 66%. If black event is False, then purple event is False with probability of 34%. If black event is True, then purple event is True with probability of 88%. If black event is True, then purple event is False with probability of 12%. black event is true with probability of 65%. black event is false with probability of 35%. ",What is the probability that purple event is True?,0.803,"('black event',) -> purple event | () -> black event",2,n0||,t,0.2678999999998765
"If cyan event is False, then pink event is True with probability of 94%. If cyan event is False, then pink event is False with probability of 6%. If cyan event is True, then pink event is True with probability of 84%. If cyan event is True, then pink event is False with probability of 16%. cyan event is true with probability of 11%. cyan event is false with probability of 89%. ",What is the probability that cyan event is True given that pink event is True?,0.0994617868675995,"('cyan event',) -> pink event | () -> cyan event",2,n1|n0|,tt,0.236800000000148
"If yellow event is False, then grey event is True with probability of 86%. If yellow event is False, then grey event is False with probability of 14%. If yellow event is True, then grey event is True with probability of 76%. If yellow event is True, then grey event is False with probability of 24%. yellow event is true with probability of 68%. yellow event is false with probability of 32%. ",What is the probability that grey event is False?,0.208,"('yellow event',) -> grey event | () -> yellow event",2,n0||,f,0.2585999999999977
"If grey event is False, then blue event is True with probability of 48%. If grey event is False, then blue event is False with probability of 52%. If grey event is True, then blue event is True with probability of 52%. If grey event is True, then blue event is False with probability of 48%. grey event is true with probability of 4%. grey event is false with probability of 96%. ",What is the probability that blue event is False given that grey event is True?,0.4799999999999999,"('grey event',) -> blue event | () -> grey event",2,n0|n1|,ft,0.2556000000000225
"If yellow event is False, then grey event is True with probability of 8%. If yellow event is False, then grey event is False with probability of 92%. If yellow event is True, then grey event is True with probability of 27%. If yellow event is True, then grey event is False with probability of 73%. yellow event is true with probability of 5%. yellow event is false with probability of 95%. ",What is the probability that grey event is False and yellow event is False?,0.8740000000000001,"('yellow event',) -> grey event | () -> yellow event",2,n0n1||,ff,0.2527999999997199
"If grey event is False, then cyan event is True with probability of 66%. If grey event is False, then cyan event is False with probability of 34%. If grey event is True, then cyan event is True with probability of 88%. If grey event is True, then cyan event is False with probability of 12%. grey event is true with probability of 65%. grey event is false with probability of 35%. ",What is the probability that cyan event is False given that grey event is True?,0.12,"('grey event',) -> cyan event | () -> grey event",2,n0|n1|,ft,0.2561000000000923
"If grey event is False, then cyan event is True with probability of 96%. If grey event is False, then cyan event is False with probability of 4%. If grey event is True, then cyan event is True with probability of 65%. If grey event is True, then cyan event is False with probability of 35%. grey event is true with probability of 93%. grey event is false with probability of 7%. ",What is the probability that cyan event is True given that grey event is True?,0.65,"('grey event',) -> cyan event | () -> grey event",2,n0|n1|,tt,0.2723000000002251
"If white event is False, then purple event is True with probability of 12%. If white event is False, then purple event is False with probability of 88%. If white event is True, then purple event is True with probability of 13%. If white event is True, then purple event is False with probability of 87%. white event is true with probability of 63%. white event is false with probability of 37%. ",What is the probability that purple event is False?,0.8737,"('white event',) -> purple event | () -> white event",2,n0||,f,0.2684999999997828
"If white event is False, then red event is True with probability of 96%. If white event is False, then red event is False with probability of 4%. If white event is True, then red event is True with probability of 76%. If white event is True, then red event is False with probability of 24%. white event is true with probability of 11%. white event is false with probability of 89%. ",What is the probability that red event is False?,0.062,"('white event',) -> red event | () -> white event",2,n0||,f,0.2653000000001349
"If cyan event is False, then grey event is True with probability of 26%. If cyan event is False, then grey event is False with probability of 74%. If cyan event is True, then grey event is True with probability of 79%. If cyan event is True, then grey event is False with probability of 21%. cyan event is true with probability of 30%. cyan event is false with probability of 70%. ",What is the probability that grey event is False given that cyan event is False?,0.7400000000000001,"('cyan event',) -> grey event | () -> cyan event",2,n0|n1|,ff,0.3489999999999327
"If pink event is False, then grey event is True with probability of 78%. If pink event is False, then grey event is False with probability of 22%. If pink event is True, then grey event is True with probability of 81%. If pink event is True, then grey event is False with probability of 19%. pink event is true with probability of 24%. pink event is false with probability of 76%. ",What is the probability that grey event is True and pink event is False?,0.5928,"('pink event',) -> grey event | () -> pink event",2,n0n1||,tf,0.2618000000000897
"If grey event is False, then purple event is True with probability of 13%. If grey event is False, then purple event is False with probability of 87%. If grey event is True, then purple event is True with probability of 9%. If grey event is True, then purple event is False with probability of 91%. grey event is true with probability of 85%. grey event is false with probability of 15%. ",What is the probability that purple event is False given that grey event is False?,0.8700000000000001,"('grey event',) -> purple event | () -> grey event",2,n0|n1|,ff,0.2686999999998996
"If orange event is False, then pink event is True with probability of 5%. If orange event is False, then pink event is False with probability of 95%. If orange event is True, then pink event is True with probability of 27%. If orange event is True, then pink event is False with probability of 73%. orange event is true with probability of 72%. orange event is false with probability of 28%. ",What is the probability that pink event is True given that orange event is False?,0.05,"('orange event',) -> pink event | () -> orange event",2,n0|n1|,tf,0.2805999999999642
"If red event is False, then white event is True with probability of 62%. If red event is False, then white event is False with probability of 38%. If red event is True, then white event is True with probability of 18%. If red event is True, then white event is False with probability of 82%. red event is true with probability of 55%. red event is false with probability of 45%. ",What is the probability that white event is False given that red event is False?,0.3799999999999999,"('red event',) -> white event | () -> red event",2,n0|n1|,ff,0.263200000000019
"If black event is False, then purple event is True with probability of 93%. If black event is False, then purple event is False with probability of 7%. If black event is True, then purple event is True with probability of 57%. If black event is True, then purple event is False with probability of 43%. black event is true with probability of 10%. black event is false with probability of 90%. ",What is the probability that purple event is False?,0.106,"('black event',) -> purple event | () -> black event",2,n0||,f,0.2629000000000658
"If cyan event is False, then white event is True with probability of 22%. If cyan event is False, then white event is False with probability of 78%. If cyan event is True, then white event is True with probability of 10%. If cyan event is True, then white event is False with probability of 90%. cyan event is true with probability of 81%. cyan event is false with probability of 19%. ",What is the probability that cyan event is False given that white event is False?,0.1689466484268125,"('cyan event',) -> white event | () -> cyan event",2,n1|n0|,ff,0.2958999999997935
"If orange event is False, then purple event is True with probability of 48%. If orange event is False, then purple event is False with probability of 52%. If orange event is True, then purple event is True with probability of 52%. If orange event is True, then purple event is False with probability of 48%. orange event is true with probability of 4%. orange event is false with probability of 96%. ",What is the probability that orange event is False given that purple event is True?,0.956810631229236,"('orange event',) -> purple event | () -> orange event",2,n1|n0|,ft,0.2402000000003568
"If purple event is False, then red event is True with probability of 85%. If purple event is False, then red event is False with probability of 15%. If purple event is True, then red event is True with probability of 57%. If purple event is True, then red event is False with probability of 43%. purple event is true with probability of 42%. purple event is false with probability of 58%. ",What is the probability that red event is False and purple event is False?,0.087,"('purple event',) -> red event | () -> purple event",2,n0n1||,ff,0.3085999999998812
"If cyan event is False, then white event is True with probability of 9%. If cyan event is False, then white event is False with probability of 91%. If cyan event is True, then white event is True with probability of 16%. If cyan event is True, then white event is False with probability of 84%. cyan event is true with probability of 36%. cyan event is false with probability of 64%. ",What is the probability that cyan event is False given that white event is False?,0.6582278481012658,"('cyan event',) -> white event | () -> cyan event",2,n1|n0|,ff,0.2470000000003303
"If white event is False, then orange event is True with probability of 39%. If white event is False, then orange event is False with probability of 61%. If white event is True, then orange event is True with probability of 3%. If white event is True, then orange event is False with probability of 97%. white event is true with probability of 55%. white event is false with probability of 45%. ",What is the probability that orange event is False?,0.8079999999999999,"('white event',) -> orange event | () -> white event",2,n0||,f,0.2591999999999039
"If cyan event is False, then pink event is True with probability of 16%. If cyan event is False, then pink event is False with probability of 84%. If cyan event is True, then pink event is True with probability of 28%. If cyan event is True, then pink event is False with probability of 72%. cyan event is true with probability of 20%. cyan event is false with probability of 80%. ",What is the probability that cyan event is True given that pink event is True?,0.3043478260869566,"('cyan event',) -> pink event | () -> cyan event",2,n1|n0|,tt,0.2446000000002612
"If orange event is False, then black event is True with probability of 23%. If orange event is False, then black event is False with probability of 77%. If orange event is True, then black event is True with probability of 71%. If orange event is True, then black event is False with probability of 29%. orange event is true with probability of 46%. orange event is false with probability of 54%. ",What is the probability that orange event is True given that black event is True?,0.7244897959183673,"('orange event',) -> black event | () -> orange event",2,n1|n0|,tt,0.2396000000000064
"If purple event is False, then cyan event is True with probability of 40%. If purple event is False, then cyan event is False with probability of 60%. If purple event is True, then cyan event is True with probability of 39%. If purple event is True, then cyan event is False with probability of 61%. purple event is true with probability of 48%. purple event is false with probability of 52%. ",What is the probability that cyan event is True?,0.3952,"('purple event',) -> cyan event | () -> purple event",2,n0||,t,0.2816999999999403
"If orange event is False, then purple event is True with probability of 18%. If orange event is False, then purple event is False with probability of 82%. If orange event is True, then purple event is True with probability of 25%. If orange event is True, then purple event is False with probability of 75%. orange event is true with probability of 15%. orange event is false with probability of 85%. ",What is the probability that orange event is False given that purple event is True?,0.8031496062992126,"('orange event',) -> purple event | () -> orange event",2,n1|n0|,ft,0.2458000000000737
"If black event is False, then red event is True with probability of 55%. If black event is False, then red event is False with probability of 45%. If black event is True, then red event is True with probability of 3%. If black event is True, then red event is False with probability of 97%. black event is true with probability of 79%. black event is false with probability of 21%. ",What is the probability that red event is True given that black event is True?,0.03,"('black event',) -> red event | () -> black event",2,n0|n1|,tt,0.2588999999999508
"If yellow event is False, then blue event is True with probability of 26%. If yellow event is False, then blue event is False with probability of 74%. If yellow event is True, then blue event is True with probability of 79%. If yellow event is True, then blue event is False with probability of 21%. yellow event is true with probability of 30%. yellow event is false with probability of 70%. ",What is the probability that yellow event is False given that blue event is True?,0.4343675417661098,"('yellow event',) -> blue event | () -> yellow event",2,n1|n0|,ft,0.2407999999998189
"If red event is False, then black event is True with probability of 1%. If red event is False, then black event is False with probability of 99%. If red event is True, then black event is True with probability of 49%. If red event is True, then black event is False with probability of 51%. red event is true with probability of 49%. red event is false with probability of 51%. ",What is the probability that black event is False and red event is False?,0.5049,"('red event',) -> black event | () -> red event",2,n0n1||,ff,0.2531000000001171
"If orange event is False, then red event is True with probability of 21%. If orange event is False, then red event is False with probability of 79%. If orange event is True, then red event is True with probability of 30%. If orange event is True, then red event is False with probability of 70%. orange event is true with probability of 28%. orange event is false with probability of 72%. ",What is the probability that red event is False?,0.7648,"('orange event',) -> red event | () -> orange event",2,n0||,f,0.2653999999999712
"If orange event is False, then black event is True with probability of 43%. If orange event is False, then black event is False with probability of 57%. If orange event is True, then black event is True with probability of 49%. If orange event is True, then black event is False with probability of 51%. orange event is true with probability of 39%. orange event is false with probability of 61%. ",What is the probability that orange event is True given that black event is False?,0.3638858397365533,"('orange event',) -> black event | () -> orange event",2,n1|n0|,tf,0.2450000000000507
"If cyan event is False, then purple event is True with probability of 55%. If cyan event is False, then purple event is False with probability of 45%. If cyan event is True, then purple event is True with probability of 93%. If cyan event is True, then purple event is False with probability of 7%. cyan event is true with probability of 35%. cyan event is false with probability of 65%. ",What is the probability that purple event is True and cyan event is True?,0.3255,"('cyan event',) -> purple event | () -> cyan event",2,n0n1||,tt,0.2547000000001631
"If grey event is False, then white event is True with probability of 48%. If grey event is False, then white event is False with probability of 52%. If grey event is True, then white event is True with probability of 52%. If grey event is True, then white event is False with probability of 48%. grey event is true with probability of 4%. grey event is false with probability of 96%. ",What is the probability that white event is False and grey event is False?,0.4992,"('grey event',) -> white event | () -> grey event",2,n0n1||,ff,0.2537999999998597
"If purple event is False, then blue event is True with probability of 62%. If purple event is False, then blue event is False with probability of 38%. If purple event is True, then blue event is True with probability of 18%. If purple event is True, then blue event is False with probability of 82%. purple event is true with probability of 55%. purple event is false with probability of 45%. ",What is the probability that blue event is False given that purple event is False?,0.3799999999999999,"('purple event',) -> blue event | () -> purple event",2,n0|n1|,ff,0.263200000000019
"If grey event is False, then red event is True with probability of 5%. If grey event is False, then red event is False with probability of 95%. If grey event is True, then red event is True with probability of 76%. If grey event is True, then red event is False with probability of 24%. grey event is true with probability of 68%. grey event is false with probability of 32%. ",What is the probability that red event is True?,0.5328,"('grey event',) -> red event | () -> grey event",2,n0||,t,0.2535999999997429
"If black event is False, then orange event is True with probability of 96%. If black event is False, then orange event is False with probability of 4%. If black event is True, then orange event is True with probability of 76%. If black event is True, then orange event is False with probability of 24%. black event is true with probability of 11%. black event is false with probability of 89%. ",What is the probability that orange event is True given that black event is True?,0.76,"('black event',) -> orange event | () -> black event",2,n0|n1|,tt,0.2566999999999986
"If blue event is False, then purple event is True with probability of 96%. If blue event is False, then purple event is False with probability of 4%. If blue event is True, then purple event is True with probability of 87%. If blue event is True, then purple event is False with probability of 13%. blue event is true with probability of 69%. blue event is false with probability of 31%. ",What is the probability that purple event is False given that blue event is True?,0.13,"('blue event',) -> purple event | () -> blue event",2,n0|n1|,ft,0.2561999999999287
"If black event is False, then pink event is True with probability of 18%. If black event is False, then pink event is False with probability of 82%. If black event is True, then pink event is True with probability of 25%. If black event is True, then pink event is False with probability of 75%. black event is true with probability of 15%. black event is false with probability of 85%. ",What is the probability that pink event is True?,0.1905,"('black event',) -> pink event | () -> black event",2,n0||,t,0.2580000000000915
